"Time (s) Run #1","Light Intensity (lx) Run #1","Time (s) Run #2","Light Intensity (lx) Run #2","Time (s) Run #3","Light Intensity (lx) Run #3","Time (s) Run #4","Light Intensity (lx) Run #4","Time (s) Run #5","Light Intensity (lx) Run #5","Time (s) Run #6","Light Intensity (lx) Run #6","Time (s) Run #7","Light Intensity (lx) Run #7","Time (s) Run #8","Light Intensity (lx) Run #8","Time (s) Run #9","Light Intensity (lx) Run #9","Time (s) Run #10","Light Intensity (lx) Run #10","Time (s) Run #11","Light Intensity (lx) Run #11","Time (s) Run #12","Light Intensity (lx) Run #12","Time (s) Run #13","Light Intensity (lx) Run #13","Time (s) Run #14","Light Intensity (lx) Run #14","Time (s) Run #15","Light Intensity (lx) Run #15","Time (s) Run #16","Light Intensity (lx) Run #16","Time (s) Run #17","Light Intensity (lx) Run #17","Time (s) Run #18","Light Intensity (lx) Run #18","Time (s) Run #19","Light Intensity (lx) Run #19","Time (s) Run #20","Light Intensity (lx) Run #20","Time (s) Run #21","Light Intensity (lx) Run #21","Time (s) Run #22","Light Intensity (lx) Run #22","Time (s) Run #23","Light Intensity (lx) Run #23"
1.150,435.79,1.150,570.37,1.150,756.23,1.150,1070.25,1.150,1579.74,1.150,2435.30,1.150,3406.22,1.150,3688.20,1.150,3787.54,1.150,3537.60,1.150,2922.36,1.150,2557.07,1.150,2384.03,1.150,1861.72,1.150,1454.77,1.150,948.49,1.150,557.56,1.150,378.11,1.150,243.53,1.150,150.60,1.150,102.54,1.150,51.27,1.150,32.04
1.200,435.79,1.200,570.37,1.200,756.23,1.200,1060.64,1.200,1560.52,1.200,2464.14,1.200,3403.02,1.200,3694.61,1.200,3777.92,1.200,3531.19,1.200,2922.36,1.200,2557.07,1.200,2384.03,1.200,1864.93,1.200,1461.18,1.200,951.69,1.200,557.56,1.200,378.11,1.200,237.12,1.200,147.40,1.200,102.54,1.200,51.27,1.200,32.04
1.250,429.38,1.250,570.37,1.250,762.63,1.250,1051.03,1.250,1557.31,1.250,2473.75,1.250,3441.47,1.250,3665.77,1.250,3758.70,1.250,3524.78,1.250,2922.36,1.250,2557.07,1.250,2384.03,1.250,1864.93,1.250,1461.18,1.250,954.90,1.250,557.56,1.250,384.52,1.250,237.12,1.250,147.40,1.250,102.54,1.250,51.27,1.250,32.04
1.300,435.79,1.300,563.96,1.300,762.63,1.300,1063.84,1.300,1576.54,1.300,2448.12,1.300,3441.47,1.300,3662.57,1.300,3755.49,1.300,3524.78,1.300,2922.36,1.300,2557.07,1.300,2384.03,1.300,1845.70,1.300,1441.96,1.300,954.90,1.300,551.15,1.300,381.32,1.300,237.12,1.300,147.40,1.300,102.54,1.300,51.27,1.300,32.04
1.350,435.79,1.350,570.37,1.350,762.63,1.350,1070.25,1.350,1582.95,1.350,2438.51,1.350,3409.42,1.350,3662.57,1.350,3765.11,1.350,3524.78,1.350,2922.36,1.350,2557.07,1.350,2384.03,1.350,1858.52,1.350,1454.77,1.350,951.69,1.350,557.56,1.350,378.11,1.350,243.53,1.350,150.60,1.350,102.54,1.350,51.27,1.350,32.04
1.400,435.79,1.400,570.37,1.400,749.82,1.400,1070.25,1.400,1563.72,1.400,2454.53,1.400,3403.02,1.400,3707.43,1.400,3800.35,1.400,3547.21,1.400,2922.36,1.400,2557.07,1.400,2384.03,1.400,1864.93,1.400,1457.98,1.400,948.49,1.400,557.56,1.400,378.11,1.400,243.53,1.400,147.40,1.400,102.54,1.400,51.27,1.400,32.04
1.450,432.59,1.450,570.37,1.450,762.63,1.450,1054.23,1.450,1557.31,1.450,2470.55,1.450,3428.65,1.450,3672.18,1.450,3761.90,1.450,3524.78,1.450,2922.36,1.450,2557.07,1.450,2384.03,1.450,1864.93,1.450,1461.18,1.450,954.90,1.450,557.56,1.450,381.32,1.450,237.12,1.450,147.40,1.450,102.54,1.450,51.27,1.450,32.04
1.500,435.79,1.500,563.96,1.500,762.63,1.500,1057.43,1.500,1570.13,1.500,2460.94,1.500,3451.08,1.500,3665.77,1.500,3755.49,1.500,3524.78,1.500,2922.36,1.500,2557.07,1.500,2384.03,1.500,1858.52,1.500,1448.36,1.500,954.90,1.500,551.15,1.500,384.52,1.500,237.12,1.500,147.40,1.500,102.54,1.500,51.27,1.500,32.04
1.550,435.79,1.550,563.96,1.550,762.63,1.550,1063.84,1.550,1582.95,1.550,2441.71,1.550,3415.83,1.550,3662.57,1.550,3755.49,1.550,3524.78,1.550,2922.36,1.550,2557.07,1.550,2384.03,1.550,1852.11,1.550,1448.36,1.550,954.90,1.550,557.56,1.550,378.11,1.550,243.53,1.550,147.40,1.550,102.54,1.550,51.27,1.550,32.04
1.600,435.79,1.600,570.37,1.600,756.23,1.600,1070.25,1.600,1570.13,1.600,2438.51,1.600,3406.22,1.600,3694.61,1.600,3793.95,1.600,3547.21,1.600,2922.36,1.600,2557.07,1.600,2384.03,1.600,1861.72,1.600,1457.98,1.600,942.08,1.600,557.56,1.600,378.11,1.600,243.53,1.600,147.40,1.600,102.54,1.600,51.27,1.600,32.04
