"Time (s) Run #1","Light Intensity (lx) Run #1","Time (s) Run #2","Light Intensity (lx) Run #2","Time (s) Run #3","Light Intensity (lx) Run #3","Time (s) Run #4","Light Intensity (lx) Run #4","Time (s) Run #5","Light Intensity (lx) Run #5","Time (s) Run #6","Light Intensity (lx) Run #6","Time (s) Run #7","Light Intensity (lx) Run #7","Time (s) Run #8","Light Intensity (lx) Run #8","Time (s) Run #9","Light Intensity (lx) Run #9","Time (s) Run #10","Light Intensity (lx) Run #10","Time (s) Run #11","Light Intensity (lx) Run #11","Time (s) Run #12","Light Intensity (lx) Run #12","Time (s) Run #13","Light Intensity (lx) Run #13","Time (s) Run #14","Light Intensity (lx) Run #14","Time (s) Run #15","Light Intensity (lx) Run #15","Time (s) Run #16","Light Intensity (lx) Run #16","Time (s) Run #17","Light Intensity (lx) Run #17","Time (s) Run #18","Light Intensity (lx) Run #18","Time (s) Run #19","Light Intensity (lx) Run #19","Time (s) Run #20","Light Intensity (lx) Run #20","Time (s) Run #21","Light Intensity (lx) Run #21","Time (s) Run #22","Light Intensity (lx) Run #22","Time (s) Run #23","Light Intensity (lx) Run #23","Time (s) Run #24","Light Intensity (lx) Run #24","Time (s) Run #25","Light Intensity (lx) Run #25","Time (s) Run #26","Light Intensity (lx) Run #26","Time (s) Run #27","Light Intensity (lx) Run #27","Time (s) Run #28","Light Intensity (lx) Run #28","Time (s) Run #29","Light Intensity (lx) Run #29","Time (s) Run #30","Light Intensity (lx) Run #30","Time (s) Run #31","Light Intensity (lx) Run #31","Time (s) Run #32","Light Intensity (lx) Run #32","Time (s) Run #33","Light Intensity (lx) Run #33","Time (s) Run #34","Light Intensity (lx) Run #34","Time (s) Run #35","Light Intensity (lx) Run #35"
1.000,314.03,1.000,346.07,1.000,253.14,1.000,166.63,1.000,153.81,1.000,185.85,1.000,262.76,1.000,371.70,1.000,512.70,1.000,570.37,1.000,628.05,1.000,685.73,1.000,730.59,1.000,743.41,1.000,749.82,1.000,756.23,1.000,781.86,1.000,788.27,1.000,788.27,1.000,781.86,1.000,781.86,1.000,756.23,1.000,756.23,1.000,749.82,1.000,743.41,1.000,724.18,1.000,717.77,1.000,698.55,1.000,672.91,1.000,653.69,1.000,615.23,1.000,570.37,1.000,519.10,1.000,467.83,1.000,435.79
1.050,320.43,1.050,352.48,1.050,256.35,1.050,166.63,1.050,153.81,1.050,185.85,1.050,262.76,1.050,378.11,1.050,503.08,1.050,583.19,1.050,628.05,1.050,685.73,1.050,724.18,1.050,743.41,1.050,756.23,1.050,762.63,1.050,775.45,1.050,778.66,1.050,778.66,1.050,781.86,1.050,781.86,1.050,756.23,1.050,762.63,1.050,749.82,1.050,743.41,1.050,737.00,1.050,724.18,1.050,695.34,1.050,672.91,1.050,653.69,1.050,618.44,1.050,573.58,1.050,519.10,1.050,474.24,1.050,429.38
1.100,320.43,1.100,352.48,1.100,249.94,1.100,166.63,1.100,147.40,1.100,185.85,1.100,269.17,1.100,384.52,1.100,499.88,1.100,570.37,1.100,640.87,1.100,685.73,1.100,724.18,1.100,743.41,1.100,756.23,1.100,769.04,1.100,769.04,1.100,772.25,1.100,775.45,1.100,794.68,1.100,791.47,1.100,769.04,1.100,756.23,1.100,749.82,1.100,737.00,1.100,737.00,1.100,737.00,1.100,698.55,1.100,676.12,1.100,640.87,1.100,608.83,1.100,570.37,1.100,519.10,1.100,474.24,1.100,435.79
1.150,320.43,1.150,352.48,1.150,249.94,1.150,166.63,1.150,153.81,1.150,185.85,1.150,269.17,1.150,378.11,1.150,506.29,1.150,570.37,1.150,634.46,1.150,685.73,1.150,724.18,1.150,743.41,1.150,756.23,1.150,769.04,1.150,781.86,1.150,785.06,1.150,794.68,1.150,794.68,1.150,797.88,1.150,756.23,1.150,756.23,1.150,749.82,1.150,737.00,1.150,737.00,1.150,737.00,1.150,711.36,1.150,685.73,1.150,640.87,1.150,608.83,1.150,570.37,1.150,519.10,1.150,474.24,1.150,435.79
1.200,317.23,1.200,349.27,1.200,249.94,1.200,166.63,1.200,153.81,1.200,185.85,1.200,269.17,1.200,371.70,1.200,512.70,1.200,570.37,1.200,628.05,1.200,692.14,1.200,724.18,1.200,743.41,1.200,746.61,1.200,769.04,1.200,781.86,1.200,788.27,1.200,794.68,1.200,781.86,1.200,781.86,1.200,756.23,1.200,756.23,1.200,749.82,1.200,743.41,1.200,720.98,1.200,727.39,1.200,711.36,1.200,676.12,1.200,640.87,1.200,608.83,1.200,570.37,1.200,519.10,1.200,474.24,1.200,435.79
1.250,314.03,1.250,349.27,1.250,256.35,1.250,166.63,1.250,153.81,1.250,185.85,1.250,262.76,1.250,378.11,1.250,506.29,1.250,576.78,1.250,628.05,1.250,685.73,1.250,727.39,1.250,743.41,1.250,756.23,1.250,756.23,1.250,781.86,1.250,788.27,1.250,781.86,1.250,781.86,1.250,781.86,1.250,756.23,1.250,756.23,1.250,749.82,1.250,743.41,1.250,730.59,1.250,717.77,1.250,698.55,1.250,672.91,1.250,653.69,1.250,621.64,1.250,570.37,1.250,519.10,1.250,467.83,1.250,435.79
1.300,320.43,1.300,352.48,1.300,253.14,1.300,166.63,1.300,147.40,1.300,185.85,1.300,262.76,1.300,384.52,1.300,499.88,1.300,576.78,1.300,628.05,1.300,685.73,1.300,724.18,1.300,743.41,1.300,756.23,1.300,765.84,1.300,769.04,1.300,775.45,1.300,775.45,1.300,781.86,1.300,781.86,1.300,756.23,1.300,762.63,1.300,749.82,1.300,743.41,1.300,737.00,1.300,730.59,1.300,695.34,1.300,669.71,1.300,647.28,1.300,615.23,1.300,570.37,1.300,519.10,1.300,474.24,1.300,429.38
1.350,320.43,1.350,352.48,1.350,249.94,1.350,166.63,1.350,150.60,1.350,185.85,1.350,269.17,1.350,384.52,1.350,499.88,1.350,570.37,1.350,640.87,1.350,685.73,1.350,724.18,1.350,743.41,1.350,756.23,1.350,769.04,1.350,775.45,1.350,775.45,1.350,781.86,1.350,794.68,1.350,794.68,1.350,762.63,1.350,756.23,1.350,749.82,1.350,730.59,1.350,737.00,1.350,737.00,1.350,704.96,1.350,679.32,1.350,640.87,1.350,608.83,1.350,570.37,1.350,519.10,1.350,474.24,1.350,435.79
1.400,320.43,1.400,352.48,1.400,249.94,1.400,166.63,1.400,153.81,1.400,185.85,1.400,269.17,1.400,374.91,1.400,509.49,1.400,570.37,1.400,634.46,1.400,685.73,1.400,724.18,1.400,743.41,1.400,756.23,1.400,769.04,1.400,781.86,1.400,788.27,1.400,794.68,1.400,788.27,1.400,794.68,1.400,756.23,1.400,756.23,1.400,749.82,1.400,743.41,1.400,733.80,1.400,737.00,1.400,711.36,1.400,685.73,1.400,640.87,1.400,608.83,1.400,570.37,1.400,519.10,1.400,474.24,1.400,435.79
1.450,314.03,1.450,346.07,1.450,253.14,1.450,166.63,1.450,153.81,1.450,185.85,1.450,269.17,1.450,371.70,1.450,512.70,1.450,570.37,1.450,628.05,1.450,688.93,1.450,730.59,1.450,743.41,1.450,746.61,1.450,762.63,1.450,781.86,1.450,788.27,1.450,794.68,1.450,781.86,1.450,781.86,1.450,756.23,1.450,756.23,1.450,749.82,1.450,743.41,1.450,717.77,1.450,724.18,1.450,708.16,1.450,672.91,1.450,647.28,1.450,608.83,1.450,570.37,1.450,519.10,1.450,474.24,1.450,435.79
