"Time (s) Run #1","Light Intensity (lx) Run #1","Time (s) Run #2","Light Intensity (lx) Run #2","Time (s) Run #3","Light Intensity (lx) Run #3","Time (s) Run #4","Light Intensity (lx) Run #4","Time (s) Run #5","Light Intensity (lx) Run #5","Time (s) Run #6","Light Intensity (lx) Run #6","Time (s) Run #7","Light Intensity (lx) Run #7","Time (s) Run #8","Light Intensity (lx) Run #8","Time (s) Run #9","Light Intensity (lx) Run #9","Time (s) Run #10","Light Intensity (lx) Run #10","Time (s) Run #11","Light Intensity (lx) Run #11","Time (s) Run #12","Light Intensity (lx) Run #12","Time (s) Run #13","Light Intensity (lx) Run #13","Time (s) Run #14","Light Intensity (lx) Run #14","Time (s) Run #15","Light Intensity (lx) Run #15","Time (s) Run #16","Light Intensity (lx) Run #16","Time (s) Run #17","Light Intensity (lx) Run #17","Time (s) Run #18","Light Intensity (lx) Run #18","Time (s) Run #19","Light Intensity (lx) Run #19","Time (s) Run #20","Light Intensity (lx) Run #20","Time (s) Run #21","Light Intensity (lx) Run #21","Time (s) Run #22","Light Intensity (lx) Run #22","Time (s) Run #23","Light Intensity (lx) Run #23","Time (s) Run #24","Light Intensity (lx) Run #24","Time (s) Run #25","Light Intensity (lx) Run #25"
1.100,512.70,1.100,1038.21,1.100,1294.56,1.100,1300.96,1.100,1262.51,1.100,1211.24,1.100,1179.20,1.100,1159.97,1.100,1127.93,1.100,1057.43,1.100,1031.80,1.100,980.53,1.100,906.83,1.100,871.58,1.100,807.50,1.100,778.66,1.100,743.41,1.100,650.48,1.100,583.19,1.100,480.65,1.100,413.36,1.100,365.30,1.100,320.43,1.100,233.92,1.100,166.63
1.150,515.90,1.150,1038.21,1.150,1294.56,1.150,1300.96,1.150,1262.51,1.150,1211.24,1.150,1179.20,1.150,1137.54,1.150,1118.32,1.150,1076.66,1.150,1031.80,1.150,980.53,1.150,922.85,1.150,852.36,1.150,833.13,1.150,762.63,1.150,743.41,1.150,640.87,1.150,583.19,1.150,487.06,1.150,403.75,1.150,365.30,1.150,320.43,1.150,230.71,1.150,173.03
1.200,512.70,1.200,1038.21,1.200,1294.56,1.200,1300.96,1.200,1262.51,1.200,1211.24,1.200,1179.20,1.200,1153.56,1.200,1115.11,1.200,1076.66,1.200,1031.80,1.200,970.92,1.200,929.26,1.200,874.79,1.200,839.54,1.200,778.66,1.200,724.18,1.200,647.28,1.200,570.37,1.200,480.65,1.200,403.75,1.200,358.89,1.200,317.23,1.200,230.71,1.200,173.03
1.250,512.70,1.250,1038.21,1.250,1294.56,1.250,1300.96,1.250,1262.51,1.250,1211.24,1.250,1179.20,1.250,1159.97,1.250,1127.93,1.250,1076.66,1.250,1015.78,1.250,951.69,1.250,929.26,1.250,877.99,1.250,839.54,1.250,788.27,1.250,717.77,1.250,660.10,1.250,563.96,1.250,467.83,1.250,416.56,1.250,352.48,1.250,314.03,1.250,237.12,1.250,169.83
1.300,512.70,1.300,1047.82,1.300,1294.56,1.300,1300.96,1.300,1262.51,1.300,1211.24,1.300,1179.20,1.300,1159.97,1.300,1127.93,1.300,1076.66,1.300,1031.80,1.300,977.33,1.300,906.83,1.300,877.99,1.300,813.90,1.300,788.27,1.300,740.20,1.300,660.10,1.300,576.78,1.300,467.83,1.300,416.56,1.300,358.89,1.300,314.03,1.300,237.12,1.300,166.63
1.350,515.90,1.350,1038.21,1.350,1294.56,1.350,1300.96,1.350,1262.51,1.350,1211.24,1.350,1179.20,1.350,1153.56,1.350,1127.93,1.350,1063.84,1.350,1031.80,1.350,980.53,1.350,910.03,1.350,861.97,1.350,807.50,1.350,772.25,1.350,743.41,1.350,647.28,1.350,583.19,1.350,480.65,1.350,410.16,1.350,365.30,1.350,320.43,1.350,230.71,1.350,166.63
1.400,512.70,1.400,1038.21,1.400,1294.56,1.400,1300.96,1.400,1262.51,1.400,1211.24,1.400,1179.20,1.400,1147.16,1.400,1111.91,1.400,1076.66,1.400,1031.80,1.400,980.53,1.400,926.06,1.400,858.76,1.400,833.13,1.400,762.63,1.400,743.41,1.400,637.66,1.400,583.19,1.400,487.06,1.400,403.75,1.400,365.30,1.400,320.43,1.400,230.71,1.400,173.03
1.450,512.70,1.450,1038.21,1.450,1294.56,1.450,1300.96,1.450,1262.51,1.450,1211.24,1.450,1179.20,1.450,1159.97,1.450,1121.52,1.450,1076.66,1.450,1028.59,1.450,961.30,1.450,929.26,1.450,877.99,1.450,839.54,1.450,781.86,1.450,724.18,1.450,653.69,1.450,570.37,1.450,477.45,1.450,403.75,1.450,355.68,1.450,314.03,1.450,230.71,1.450,173.03
1.500,512.70,1.500,1044.62,1.500,1294.56,1.500,1300.96,1.500,1262.51,1.500,1211.24,1.500,1179.20,1.500,1159.97,1.500,1127.93,1.500,1076.66,1.500,1022.19,1.500,958.10,1.500,929.26,1.500,877.99,1.500,836.33,1.500,788.27,1.500,724.18,1.500,660.10,1.500,563.96,1.500,467.83,1.500,416.56,1.500,352.48,1.500,314.03,1.500,237.12,1.500,166.63
1.550,512.70,1.550,1044.62,1.550,1294.56,1.550,1300.96,1.550,1262.51,1.550,1211.24,1.550,1179.20,1.550,1159.97,1.550,1127.93,1.550,1070.25,1.550,1031.80,1.550,980.53,1.550,903.63,1.550,877.99,1.550,813.90,1.550,791.47,1.550,743.41,1.550,660.10,1.550,583.19,1.550,467.83,1.550,416.56,1.550,362.09,1.550,314.03,1.550,237.12,1.550,166.63
1.600,519.10,1.600,1038.21,1.600,1294.56,1.600,1300.96,1.600,1262.51,1.600,1211.24,1.600,1179.20,1.600,1143.95,1.600,1127.93,1.600,1067.05,1.600,1031.80,1.600,980.53,1.600,916.44,1.600,858.76,1.600,813.90,1.600,769.04,1.600,743.41,1.600,644.07,1.600,583.19,1.600,480.65,1.600,406.95,1.600,365.30,1.600,320.43,1.600,230.71,1.600,166.63
1.650,512.70,1.650,1038.21,1.650,1294.56,1.650,1300.96,1.650,1262.51,1.650,1211.24,1.650,1182.40,1.650,1147.16,1.650,1105.50,1.650,1076.66,1.650,1031.80,1.650,980.53,1.650,929.26,1.650,861.97,1.650,833.13,1.650,762.63,1.650,740.20,1.650,634.46,1.650,583.19,1.650,487.06,1.650,403.75,1.650,362.09,1.650,320.43,1.650,230.71,1.650,173.03
1.700,512.70,1.700,1038.21,1.700,1294.56,1.700,1300.96,1.700,1262.51,1.700,1211.24,1.700,1179.20,1.700,1159.97,1.700,1121.52,1.700,1076.66,1.700,1018.98,1.700,954.90,1.700,929.26,1.700,877.99,1.700,839.54,1.700,788.27,1.700,724.18,1.700,653.69,1.700,570.37,1.700,474.24,1.700,406.95,1.700,352.48,1.700,314.03,1.700,233.92,1.700,173.03
1.750,512.70,1.750,1051.03,1.750,1294.56,1.750,1300.96,1.750,1262.51,1.750,1211.24,1.750,1179.20,1.750,1159.97,1.750,1127.93,1.750,1076.66,1.750,1025.39,1.750,964.51,1.750,926.06,1.750,877.99,1.750,829.93,1.750,788.27,1.750,730.59,1.750,660.10,1.750,563.96,1.750,467.83,1.750,416.56,1.750,352.48,1.750,314.03,1.750,237.12,1.750,166.63
1.800,512.70,1.800,1041.41,1.800,1294.56,1.800,1300.96,1.800,1262.51,1.800,1211.24,1.800,1179.20,1.800,1159.97,1.800,1127.93,1.800,1060.64,1.800,1031.80,1.800,980.53,1.800,900.42,1.800,877.99,1.800,810.70,1.800,791.47,1.800,743.41,1.800,660.10,1.800,583.19,1.800,471.04,1.800,416.56,1.800,365.30,1.800,317.23,1.800,237.12,1.800,166.63
1.850,519.10,1.850,1038.21,1.850,1294.56,1.850,1300.96,1.850,1262.51,1.850,1211.24,1.850,1182.40,1.850,1134.34,1.850,1127.93,1.850,1070.25,1.850,1031.80,1.850,980.53,1.850,919.65,1.850,855.56,1.850,820.31,1.850,769.04,1.850,743.41,1.850,640.87,1.850,583.19,1.850,487.06,1.850,403.75,1.850,365.30,1.850,320.43,1.850,230.71,1.850,166.63
1.900,512.70,1.900,1038.21,1.900,1294.56,1.900,1300.96,1.900,1262.51,1.900,1211.24,1.900,1179.20,1.900,1153.56,1.900,1105.50,1.900,1076.66,1.900,1031.80,1.900,980.53,1.900,929.26,1.900,868.38,1.900,833.13,1.900,765.84,1.900,733.80,1.900,637.66,1.900,579.99,1.900,487.06,1.900,403.75,1.900,358.89,1.900,320.43,1.900,230.71,1.900,173.03
1.950,512.70,1.950,1038.21,1.950,1294.56,1.950,1300.96,1.950,1262.51,1.950,1211.24,1.950,1182.40,1.950,1159.97,1.950,1124.73,1.950,1076.66,1.950,1012.57,1.950,951.69,1.950,929.26,1.950,877.99,1.950,839.54,1.950,788.27,1.950,720.98,1.950,656.89,1.950,567.17,1.950,474.24,1.950,410.16,1.950,352.48,1.950,314.03,1.950,233.92,1.950,173.03
2.000,512.70,2.000,1057.43,2.000,1294.56,2.000,1300.96,2.000,1262.51,2.000,1211.24,2.000,1179.20,2.000,1159.97,2.000,1127.93,2.000,1076.66,2.000,1028.59,2.000,970.92,2.000,919.65,2.000,877.99,2.000,823.52,2.000,788.27,2.000,737.00,2.000,660.10,2.000,570.37,2.000,467.83,2.000,416.56,2.000,352.48,2.000,314.03,2.000,237.12,2.000,166.63
2.050,512.70,2.050,1038.21,2.050,1294.56,2.050,1300.96,2.050,1262.51,2.050,1211.24,2.050,1179.20,2.050,1159.97,2.050,1127.93,2.050,1057.43,2.050,1031.80,2.050,980.53,2.050,897.22,2.050,877.99,2.050,807.50,2.050,785.06,2.050,743.41,2.050,656.89,2.050,583.19,2.050,474.24,2.050,416.56,2.050,365.30,2.050,320.43,2.050,237.12,2.050,166.63
