Time (s) Run #1,Light Intensity (lx) Run #1,Time (s) Run #2,Light Intensity (lx) Run #2,Time (s) Run #3,Light Intensity (lx) Run #3,Time (s) Run #4,Light Intensity (lx) Run #4,Time (s) Run #5,Light Intensity (lx) Run #5,Time (s) Run #6,Light Intensity (lx) Run #6,Time (s) Run #7,Light Intensity (lx) Run #7,Time (s) Run #8,Light Intensity (lx) Run #8,Time (s) Run #9,Light Intensity (lx) Run #9,Time (s) Run #10,Light Intensity (lx) Run #10,Time (s) Run #11,Light Intensity (lx) Run #11,Time (s) Run #12,Light Intensity (lx) Run #12,Time (s) Run #13,Light Intensity (lx) Run #13,Time (s) Run #14,Light Intensity (lx) Run #14,Time (s) Run #15,Light Intensity (lx) Run #15,Time (s) Run #16,Light Intensity (lx) Run #16,Time (s) Run #17,Light Intensity (lx) Run #17,Time (s) Run #18,Light Intensity (lx) Run #18,Time (s) Run #19,Light Intensity (lx) Run #19,Time (s) Run #20,Light Intensity (lx) Run #20,Time (s) Run #21,Light Intensity (lx) Run #21,Time (s) Run #22,Light Intensity (lx) Run #22,Time (s) Run #23,Light Intensity (lx) Run #23,Time (s) Run #24,Light Intensity (lx) Run #24,Time (s) Run #25,Light Intensity (lx) Run #25,Time (s) Run #26,Light Intensity (lx) Run #26,Time (s) Run #27,Light Intensity (lx) Run #27,Time (s) Run #28,Light Intensity (lx) Run #28,Time (s) Run #29,Light Intensity (lx) Run #29,Time (s) Run #30,Light Intensity (lx) Run #30,Time (s) Run #31,Light Intensity (lx) Run #31,Time (s) Run #32,Light Intensity (lx) Run #32,Time (s) Run #33,Light Intensity (lx) Run #33,Time (s) Run #34,Light Intensity (lx) Run #34,Time (s) Run #35,Light Intensity (lx) Run #35
1,429.38,1,390.93,1,294.8,1,259.55,1,272.37,1,339.66,1,429.38,1,506.29,1,570.37,1,602.42,1,647.28,1,640.87,1,647.28,1,653.69,1,656.89,1,685.73,1,666.5,1,672.91,1,679.32,1,685.73,1,679.32,1,679.32,1,679.32,1,692.14,1,660.1,1,685.73,1,647.28,1,672.91,1,660.1,1,634.46,1,621.64,1,570.37,1,528.72,1,493.47,1,448.61
1.05,429.38,1.05,390.93,1.05,294.8,1.05,259.55,1.05,272.37,1.05,339.66,1.05,422.97,1.05,499.88,1.05,570.37,1.05,596.01,1.05,647.28,1.05,640.87,1.05,644.07,1.05,656.89,1.05,656.89,1.05,685.73,1.05,666.5,1.05,672.91,1.05,688.93,1.05,679.32,1.05,679.32,1.05,682.53,1.05,672.91,1.05,685.73,1.05,660.1,1.05,679.32,1.05,647.28,1.05,672.91,1.05,653.69,1.05,634.46,1.05,621.64,1.05,570.37,1.05,531.92,1.05,487.06,1.05,448.61
1.1,435.79,1.1,390.93,1.1,294.8,1.1,262.76,1.1,275.57,1.1,333.25,1.1,422.97,1.1,499.88,1.1,563.96,1.1,596.01,1.1,653.69,1.1,640.87,1.1,640.87,1.1,653.69,1.1,656.89,1.1,685.73,1.1,666.5,1.1,672.91,1.1,679.32,1.1,682.53,1.1,685.73,1.1,685.73,1.1,672.91,1.1,682.53,1.1,660.1,1.1,679.32,1.1,647.28,1.1,672.91,1.1,653.69,1.1,634.46,1.1,615.23,1.1,570.37,1.1,531.92,1.1,487.06,1.1,448.61
1.15,432.59,1.15,390.93,1.15,294.8,1.15,262.76,1.15,272.37,1.15,333.25,1.15,422.97,1.15,506.29,1.15,563.96,1.15,599.21,1.15,653.69,1.15,637.66,1.15,653.69,1.15,653.69,1.15,660.1,1.15,685.73,1.15,666.5,1.15,666.5,1.15,672.91,1.15,685.73,1.15,679.32,1.15,682.53,1.15,672.91,1.15,682.53,1.15,660.1,1.15,679.32,1.15,647.28,1.15,666.5,1.15,660.1,1.15,634.46,1.15,615.23,1.15,570.37,1.15,531.92,1.15,493.47,1.15,448.61
1.2,429.38,1.2,390.93,1.2,294.8,1.2,262.76,1.2,272.37,1.2,339.66,1.2,429.38,1.2,506.29,1.2,567.17,1.2,602.42,1.2,647.28,1.2,637.66,1.2,650.48,1.2,653.69,1.2,660.1,1.2,685.73,1.2,666.5,1.2,672.91,1.2,672.91,1.2,685.73,1.2,679.32,1.2,679.32,1.2,676.12,1.2,692.14,1.2,660.1,1.2,685.73,1.2,647.28,1.2,672.91,1.2,660.1,1.2,634.46,1.2,621.64,1.2,570.37,1.2,525.51,1.2,493.47,1.2,448.61
1.25,429.38,1.25,390.93,1.25,294.8,1.25,259.55,1.25,272.37,1.25,339.66,1.25,429.38,1.25,506.29,1.25,570.37,1.25,596.01,1.25,647.28,1.25,640.87,1.25,647.28,1.25,660.1,1.25,656.89,1.25,685.73,1.25,663.3,1.25,672.91,1.25,685.73,1.25,685.73,1.25,679.32,1.25,679.32,1.25,672.91,1.25,685.73,1.25,660.1,1.25,682.53,1.25,647.28,1.25,672.91,1.25,660.1,1.25,631.26,1.25,621.64,1.25,570.37,1.25,531.92,1.25,487.06,1.25,448.61
1.3,432.59,1.3,390.93,1.3,294.8,1.3,262.76,1.3,275.57,1.3,339.66,1.3,422.97,1.3,499.88,1.3,570.37,1.3,596.01,1.3,647.28,1.3,640.87,1.3,644.07,1.3,653.69,1.3,656.89,1.3,685.73,1.3,666.5,1.3,672.91,1.3,685.73,1.3,679.32,1.3,679.32,1.3,685.73,1.3,672.91,1.3,685.73,1.3,660.1,1.3,679.32,1.3,647.28,1.3,672.91,1.3,653.69,1.3,634.46,1.3,621.64,1.3,570.37,1.3,531.92,1.3,487.06,1.3,448.61
1.35,435.79,1.35,390.93,1.35,294.8,1.35,262.76,1.35,272.37,1.35,333.25,1.35,422.97,1.35,499.88,1.35,563.96,1.35,596.01,1.35,653.69,1.35,640.87,1.35,647.28,1.35,653.69,1.35,656.89,1.35,685.73,1.35,666.5,1.35,669.71,1.35,676.12,1.35,685.73,1.35,682.53,1.35,685.73,1.35,672.91,1.35,685.73,1.35,660.1,1.35,679.32,1.35,647.28,1.35,672.91,1.35,656.89,1.35,634.46,1.35,615.23,1.35,570.37,1.35,531.92,1.35,490.26,1.35,455.02
1.4,432.59,1.4,390.93,1.4,294.8,1.4,262.76,1.4,272.37,1.4,339.66,1.4,422.97,1.4,506.29,1.4,563.96,1.4,602.42,1.4,647.28,1.4,640.87,1.4,653.69,1.4,653.69,1.4,660.1,1.4,685.73,1.4,666.5,1.4,666.5,1.4,672.91,1.4,685.73,1.4,679.32,1.4,679.32,1.4,672.91,1.4,685.73,1.4,660.1,1.4,679.32,1.4,647.28,1.4,666.5,1.4,660.1,1.4,634.46,1.4,615.23,1.4,570.37,1.4,525.51,1.4,493.47,1.4,448.61
1.45,429.38,1.45,390.93,1.45,294.8,1.45,262.76,1.45,272.37,1.45,339.66,1.45,429.38,1.45,506.29,1.45,570.37,1.45,599.21,1.45,647.28,1.45,637.66,1.45,647.28,1.45,653.69,1.45,660.1,1.45,685.73,1.45,666.5,1.45,672.91,1.45,672.91,1.45,685.73,1.45,679.32,1.45,679.32,1.45,682.53,1.45,692.14,1.45,660.1,1.45,685.73,1.45,647.28,1.45,672.91,1.45,660.1,1.45,634.46,1.45,621.64,1.45,570.37,1.45,525.51,1.45,493.47,1.45,448.61
1.5,429.38,1.5,390.93,1.5,294.8,1.5,262.76,1.5,272.37,1.5,339.66,1.5,422.97,1.5,499.88,1.5,573.58,1.5,596.01,1.5,647.28,1.5,640.87,1.5,644.07,1.5,656.89,1.5,656.89,1.5,685.73,1.5,666.5,1.5,672.91,1.5,688.93,1.5,679.32,1.5,679.32,1.5,685.73,1.5,672.91,1.5,685.73,1.5,660.1,1.5,679.32,1.5,647.28,1.5,672.91,1.5,653.69,1.5,634.46,1.5,621.64,1.5,570.37,1.5,531.92,1.5,487.06,1.5,448.61
1.55,435.79,1.55,390.93,1.55,294.8,1.55,262.76,1.55,275.57,1.55,333.25,1.55,422.97,1.55,499.88,1.55,567.17,1.55,596.01,1.55,653.69,1.55,640.87,1.55,640.87,1.55,653.69,1.55,656.89,1.55,685.73,1.55,666.5,1.55,672.91,1.55,679.32,1.55,682.53,1.55,682.53,1.55,685.73,1.55,672.91,1.55,685.73,1.55,660.1,1.55,679.32,1.55,647.28,1.55,672.91,1.55,653.69,1.55,634.46,1.55,615.23,1.55,570.37,1.55,531.92,1.55,487.06,1.55,448.61
1.6,432.59,1.6,390.93,1.6,294.8,1.6,262.76,1.6,272.37,1.6,333.25,1.6,422.97,1.6,503.08,1.6,563.96,1.6,596.01,1.6,650.48,1.6,640.87,1.6,653.69,1.6,653.69,1.6,660.1,1.6,688.93,1.6,666.5,1.6,666.5,1.6,672.91,1.6,685.73,1.6,679.32,1.6,679.32,1.6,672.91,1.6,685.73,1.6,660.1,1.6,679.32,1.6,647.28,1.6,666.5,1.6,660.1,1.6,634.46,1.6,615.23,1.6,570.37,1.6,531.92,1.6,493.47,1.6,448.61
1.65,429.38,1.65,390.93,1.65,294.8,1.65,262.76,1.65,272.37,1.65,339.66,1.65,429.38,1.65,506.29,1.65,567.17,1.65,602.42,1.65,647.28,1.65,640.87,1.65,650.48,1.65,653.69,1.65,660.1,1.65,685.73,1.65,666.5,1.65,672.91,1.65,672.91,1.65,685.73,1.65,679.32,1.65,679.32,1.65,672.91,1.65,692.14,1.65,660.1,1.65,685.73,1.65,647.28,1.65,669.71,1.65,660.1,1.65,634.46,1.65,621.64,1.65,570.37,1.65,525.51,1.65,493.47,1.65,448.61
1.7,429.38,1.7,390.93,1.7,294.8,1.7,259.55,1.7,272.37,1.7,339.66,1.7,429.38,1.7,506.29,1.7,570.37,1.7,599.21,1.7,647.28,1.7,640.87,1.7,647.28,1.7,660.1,1.7,656.89,1.7,685.73,1.7,663.3,1.7,672.91,1.7,676.12,1.7,685.73,1.7,679.32,1.7,679.32,1.7,679.32,1.7,685.73,1.7,660.1,1.7,682.53,1.7,647.28,1.7,672.91,1.7,653.69,1.7,631.26,1.7,621.64,1.7,570.37,1.7,531.92,1.7,487.06,1.7,448.61
1.75,432.59,1.75,390.93,1.75,294.8,1.75,262.76,1.75,275.57,1.75,339.66,1.75,422.97,1.75,499.88,1.75,570.37,1.75,596.01,1.75,647.28,1.75,640.87,1.75,644.07,1.75,653.69,1.75,656.89,1.75,685.73,1.75,666.5,1.75,672.91,1.75,692.14,1.75,679.32,1.75,679.32,1.75,685.73,1.75,672.91,1.75,685.73,1.75,660.1,1.75,679.32,1.75,647.28,1.75,672.91,1.75,653.69,1.75,634.46,1.75,621.64,1.75,570.37,1.75,531.92,1.75,487.06,1.75,448.61
1.8,435.79,1.8,390.93,1.8,294.8,1.8,262.76,1.8,272.37,1.8,333.25,1.8,422.97,1.8,499.88,1.8,563.96,1.8,596.01,1.8,653.69,1.8,640.87,1.8,647.28,1.8,653.69,1.8,656.89,1.8,685.73,1.8,666.5,1.8,669.71,1.8,679.32,1.8,685.73,1.8,688.93,1.8,685.73,1.8,672.91,1.8,682.53,1.8,660.1,1.8,679.32,1.8,647.28,1.8,666.5,1.8,653.69,1.8,634.46,1.8,612.03,1.8,570.37,1.8,531.92,1.8,490.26,1.8,455.02
1.85,429.38,1.85,390.93,1.85,294.8,1.85,262.76,1.85,272.37,1.85,339.66,1.85,422.97,1.85,506.29,1.85,563.96,1.85,602.42,1.85,647.28,1.85,640.87,1.85,653.69,1.85,653.69,1.85,660.1,1.85,685.73,1.85,666.5,1.85,666.5,1.85,672.91,1.85,685.73,1.85,679.32,1.85,679.32,1.85,672.91,1.85,685.73,1.85,660.1,1.85,679.32,1.85,647.28,1.85,666.5,1.85,660.1,1.85,634.46,1.85,615.23,1.85,570.37,1.85,525.51,1.85,493.47,1.85,448.61
1.9,429.38,1.9,390.93,1.9,294.8,1.9,262.76,1.9,272.37,1.9,339.66,1.9,429.38,1.9,506.29,1.9,570.37,1.9,602.42,1.9,647.28,1.9,637.66,1.9,647.28,1.9,653.69,1.9,660.1,1.9,685.73,1.9,666.5,1.9,672.91,1.9,672.91,1.9,685.73,1.9,679.32,1.9,679.32,1.9,672.91,1.9,692.14,1.9,660.1,1.9,685.73,1.9,647.28,1.9,672.91,1.9,660.1,1.9,634.46,1.9,621.64,1.9,570.37,1.9,525.51,1.9,493.47,1.9,448.61
1.95,429.38,1.95,390.93,1.95,294.8,1.95,259.55,1.95,275.57,1.95,339.66,1.95,422.97,1.95,499.88,1.95,570.37,1.95,596.01,1.95,647.28,1.95,640.87,1.95,644.07,1.95,656.89,1.95,656.89,1.95,685.73,1.95,666.5,1.95,672.91,1.95,679.32,1.95,682.53,1.95,679.32,1.95,682.53,1.95,676.12,1.95,685.73,1.95,660.1,1.95,679.32,1.95,647.28,1.95,672.91,1.95,653.69,1.95,634.46,1.95,621.64,1.95,570.37,1.95,531.92,1.95,487.06,1.95,448.61
