"Time (s) Run #1","Light Intensity (lx) Run #1","Time (s) Run #2","Light Intensity (lx) Run #2","Time (s) Run #3","Light Intensity (lx) Run #3","Time (s) Run #4","Light Intensity (lx) Run #4","Time (s) Run #5","Light Intensity (lx) Run #5","Time (s) Run #6","Light Intensity (lx) Run #6","Time (s) Run #7","Light Intensity (lx) Run #7","Time (s) Run #8","Light Intensity (lx) Run #8","Time (s) Run #9","Light Intensity (lx) Run #9","Time (s) Run #10","Light Intensity (lx) Run #10","Time (s) Run #11","Light Intensity (lx) Run #11","Time (s) Run #12","Light Intensity (lx) Run #12","Time (s) Run #13","Light Intensity (lx) Run #13","Time (s) Run #14","Light Intensity (lx) Run #14","Time (s) Run #15","Light Intensity (lx) Run #15","Time (s) Run #16","Light Intensity (lx) Run #16","Time (s) Run #17","Light Intensity (lx) Run #17","Time (s) Run #18","Light Intensity (lx) Run #18","Time (s) Run #19","Light Intensity (lx) Run #19","Time (s) Run #20","Light Intensity (lx) Run #20","Time (s) Run #21","Light Intensity (lx) Run #21","Time (s) Run #22","Light Intensity (lx) Run #22","Time (s) Run #23","Light Intensity (lx) Run #23","Time (s) Run #24","Light Intensity (lx) Run #24","Time (s) Run #25","Light Intensity (lx) Run #25"
1.100,480.65,1.100,993.35,1.100,1224.06,1.100,1230.47,1.100,1198.43,1.100,1137.54,1.100,1121.52,1.100,1070.25,1.100,1067.05,1.100,1018.98,1.100,942.08,1.100,919.65,1.100,877.99,1.100,820.31,1.100,775.45,1.100,749.82,1.100,704.96,1.100,621.64,1.100,531.92,1.100,442.20,1.100,394.13,1.100,333.25,1.100,294.80,1.100,217.90,1.100,160.22
1.150,474.24,1.150,993.35,1.150,1224.06,1.150,1236.88,1.150,1198.43,1.150,1147.16,1.150,1089.48,1.150,1057.43,1.150,1073.46,1.150,1025.39,1.150,974.12,1.150,929.26,1.150,852.36,1.150,801.09,1.150,762.63,1.150,733.80,1.150,692.14,1.150,628.05,1.150,541.53,1.150,442.20,1.150,384.52,1.150,333.25,1.150,294.80,1.150,217.90,1.150,160.22
1.200,480.65,1.200,970.92,1.200,1201.63,1.200,1236.88,1.200,1163.18,1.200,1147.16,1.200,1083.07,1.200,1089.48,1.200,1073.46,1.200,1015.78,1.200,980.53,1.200,910.03,1.200,845.95,1.200,801.09,1.200,762.63,1.200,724.18,1.200,682.53,1.200,608.83,1.200,551.15,1.200,455.02,1.200,384.52,1.200,333.25,1.200,294.80,1.200,217.90,1.200,160.22
1.250,480.65,1.250,986.94,1.250,1224.06,1.250,1208.04,1.250,1192.02,1.250,1115.11,1.250,1115.11,1.250,1095.89,1.250,1038.21,1.250,986.94,1.250,951.69,1.250,897.22,1.250,865.17,1.250,807.50,1.250,778.66,1.250,724.18,1.250,679.32,1.250,602.42,1.250,541.53,1.250,448.61,1.250,384.52,1.250,346.07,1.250,307.62,1.250,217.90,1.250,160.22
1.300,480.65,1.300,993.35,1.300,1224.06,1.300,1214.45,1.300,1198.43,1.300,1108.70,1.300,1121.52,1.300,1095.89,1.300,1041.41,1.300,999.76,1.300,942.08,1.300,894.01,1.300,877.99,1.300,826.72,1.300,788.27,1.300,743.41,1.300,695.34,1.300,602.42,1.300,531.92,1.300,442.20,1.300,390.93,1.300,339.66,1.300,294.80,1.300,217.90,1.300,157.01
1.350,480.65,1.350,993.35,1.350,1224.06,1.350,1233.67,1.350,1198.43,1.350,1140.75,1.350,1118.32,1.350,1063.84,1.350,1070.25,1.350,1018.98,1.350,951.69,1.350,922.85,1.350,871.58,1.350,813.90,1.350,772.25,1.350,753.02,1.350,704.96,1.350,621.64,1.350,531.92,1.350,442.20,1.350,390.93,1.350,333.25,1.350,294.80,1.350,217.90,1.350,160.22
1.400,474.24,1.400,986.94,1.400,1217.65,1.400,1236.88,1.400,1188.81,1.400,1147.16,1.400,1086.27,1.400,1060.64,1.400,1073.46,1.400,1025.39,1.400,974.12,1.400,929.26,1.400,849.15,1.400,801.09,1.400,762.63,1.400,730.59,1.400,685.73,1.400,624.85,1.400,544.74,1.400,442.20,1.400,384.52,1.400,333.25,1.400,294.80,1.400,217.90,1.400,160.22
1.450,480.65,1.450,980.53,1.450,1211.24,1.450,1236.88,1.450,1159.97,1.450,1147.16,1.450,1092.68,1.450,1092.68,1.450,1063.84,1.450,1006.16,1.450,977.33,1.450,903.63,1.450,845.95,1.450,801.09,1.450,762.63,1.450,724.18,1.450,679.32,1.450,608.83,1.450,551.15,1.450,455.02,1.450,384.52,1.450,333.25,1.450,298.00,1.450,217.90,1.450,160.22
1.500,480.65,1.500,990.14,1.500,1224.06,1.500,1201.63,1.500,1192.02,1.500,1111.91,1.500,1121.52,1.500,1095.89,1.500,1038.21,1.500,986.94,1.500,948.49,1.500,894.01,1.500,868.38,1.500,813.90,1.500,781.86,1.500,724.18,1.500,679.32,1.500,602.42,1.500,538.33,1.500,448.61,1.500,384.52,1.500,346.07,1.500,304.41,1.500,217.90,1.500,160.22
1.550,480.65,1.550,993.35,1.550,1224.06,1.550,1220.86,1.550,1198.43,1.550,1115.11,1.550,1121.52,1.550,1092.68,1.550,1051.03,1.550,1009.37,1.550,942.08,1.550,900.42,1.550,877.99,1.550,826.72,1.550,794.68,1.550,749.82,1.550,698.55,1.550,605.62,1.550,531.92,1.550,442.20,1.550,390.93,1.550,339.66,1.550,294.80,1.550,217.90,1.550,157.01
