"Time (s) Run #1","Light Intensity (lx) Run #1","Time (s) Run #2","Light Intensity (lx) Run #2","Time (s) Run #3","Light Intensity (lx) Run #3","Time (s) Run #4","Light Intensity (lx) Run #4","Time (s) Run #5","Light Intensity (lx) Run #5","Time (s) Run #6","Light Intensity (lx) Run #6","Time (s) Run #7","Light Intensity (lx) Run #7","Time (s) Run #8","Light Intensity (lx) Run #8","Time (s) Run #9","Light Intensity (lx) Run #9","Time (s) Run #10","Light Intensity (lx) Run #10","Time (s) Run #11","Light Intensity (lx) Run #11","Time (s) Run #12","Light Intensity (lx) Run #12","Time (s) Run #13","Light Intensity (lx) Run #13"
2.200,224.30,2.200,211.49,2.200,192.26,2.200,185.85,2.200,173.03,2.200,153.81,2.200,140.99,2.200,121.77,2.200,112.15,2.200,102.54,2.200,83.31,2.200,64.09,2.200,57.68
2.250,230.71,2.250,211.49,2.250,198.67,2.250,179.44,2.250,173.03,2.250,153.81,2.250,134.58,2.250,121.77,2.250,108.95,2.250,102.54,2.250,86.52,2.250,64.09,2.250,57.68
2.300,230.71,2.300,208.28,2.300,198.67,2.300,179.44,2.300,173.03,2.300,147.40,2.300,134.58,2.300,124.97,2.300,108.95,2.300,102.54,2.300,89.72,2.300,67.29,2.300,57.68
2.350,230.71,2.350,205.08,2.350,198.67,2.350,185.85,2.350,166.63,2.350,147.40,2.350,134.58,2.350,128.17,2.350,112.15,2.350,102.54,2.350,83.31,2.350,70.50,2.350,57.68
2.400,221.10,2.400,208.28,2.400,192.26,2.400,185.85,2.400,166.63,2.400,153.81,2.400,140.99,2.400,121.77,2.400,115.36,2.400,102.54,2.400,83.31,2.400,64.09,2.400,57.68
2.450,224.30,2.450,211.49,2.450,192.26,2.450,185.85,2.450,173.03,2.450,153.81,2.450,140.99,2.450,121.77,2.450,112.15,2.450,102.54,2.450,83.31,2.450,64.09,2.450,57.68
2.500,230.71,2.500,211.49,2.500,198.67,2.500,179.44,2.500,173.03,2.500,153.81,2.500,134.58,2.500,121.77,2.500,108.95,2.500,102.54,2.500,89.72,2.500,64.09,2.500,57.68
2.550,230.71,2.550,205.08,2.550,198.67,2.550,179.44,2.550,166.63,2.550,147.40,2.550,134.58,2.550,128.17,2.550,108.95,2.550,102.54,2.550,89.72,2.550,70.50,2.550,57.68
2.600,224.30,2.600,205.08,2.600,195.47,2.600,185.85,2.600,166.63,2.600,147.40,2.600,137.79,2.600,128.17,2.600,115.36,2.600,102.54,2.600,83.31,2.600,70.50,2.600,57.68
2.650,217.90,2.650,211.49,2.650,192.26,2.650,185.85,2.650,169.83,2.650,153.81,2.650,140.99,2.650,121.77,2.650,115.36,2.650,102.54,2.650,83.31,2.650,64.09,2.650,57.68
2.700,224.30,2.700,211.49,2.700,192.26,2.700,185.85,2.700,173.03,2.700,153.81,2.700,137.79,2.700,121.77,2.700,108.95,2.700,102.54,2.700,83.31,2.700,64.09,2.700,57.68
2.750,230.71,2.750,211.49,2.750,198.67,2.750,179.44,2.750,173.03,2.750,150.60,2.750,134.58,2.750,121.77,2.750,108.95,2.750,102.54,2.750,89.72,2.750,64.09,2.750,57.68
2.800,230.71,2.800,205.08,2.800,198.67,2.800,179.44,2.800,166.63,2.800,147.40,2.800,134.58,2.800,128.17,2.800,108.95,2.800,102.54,2.800,89.72,2.800,70.50,2.800,57.68
2.850,224.30,2.850,205.08,2.850,192.26,2.850,185.85,2.850,166.63,2.850,147.40,2.850,137.79,2.850,124.97,2.850,115.36,2.850,102.54,2.850,83.31,2.850,67.29,2.850,57.68
2.900,221.10,2.900,211.49,2.900,192.26,2.900,185.85,2.900,173.03,2.900,153.81,2.900,140.99,2.900,121.77,2.900,115.36,2.900,102.54,2.900,83.31,2.900,64.09,2.900,57.68
2.950,227.51,2.950,211.49,2.950,192.26,2.950,182.65,2.950,173.03,2.950,153.81,2.950,134.58,2.950,121.77,2.950,108.95,2.950,102.54,2.950,83.31,2.950,64.09,2.950,57.68
