"Time (s) Run #1","Light Intensity (lx) Run #1","Time (s) Run #2","Light Intensity (lx) Run #2","Time (s) Run #3","Light Intensity (lx) Run #3","Time (s) Run #4","Light Intensity (lx) Run #4","Time (s) Run #5","Light Intensity (lx) Run #5","Time (s) Run #6","Light Intensity (lx) Run #6","Time (s) Run #7","Light Intensity (lx) Run #7","Time (s) Run #8","Light Intensity (lx) Run #8","Time (s) Run #9","Light Intensity (lx) Run #9","Time (s) Run #10","Light Intensity (lx) Run #10","Time (s) Run #11","Light Intensity (lx) Run #11","Time (s) Run #12","Light Intensity (lx) Run #12","Time (s) Run #13","Light Intensity (lx) Run #13","Time (s) Run #14","Light Intensity (lx) Run #14","Time (s) Run #15","Light Intensity (lx) Run #15","Time (s) Run #16","Light Intensity (lx) Run #16","Time (s) Run #17","Light Intensity (lx) Run #17","Time (s) Run #18","Light Intensity (lx) Run #18","Time (s) Run #19","Light Intensity (lx) Run #19","Time (s) Run #20","Light Intensity (lx) Run #20","Time (s) Run #21","Light Intensity (lx) Run #21","Time (s) Run #22","Light Intensity (lx) Run #22","Time (s) Run #23","Light Intensity (lx) Run #23","Time (s) Run #24","Light Intensity (lx) Run #24","Time (s) Run #25","Light Intensity (lx) Run #25","Time (s) Run #26","Light Intensity (lx) Run #26","Time (s) Run #27","Light Intensity (lx) Run #27","Time (s) Run #28","Light Intensity (lx) Run #28","Time (s) Run #29","Light Intensity (lx) Run #29","Time (s) Run #30","Light Intensity (lx) Run #30","Time (s) Run #31","Light Intensity (lx) Run #31","Time (s) Run #32","Light Intensity (lx) Run #32","Time (s) Run #33","Light Intensity (lx) Run #33","Time (s) Run #34","Light Intensity (lx) Run #34","Time (s) Run #35","Light Intensity (lx) Run #35"
1.000,243.53,1.000,301.21,1.000,224.30,1.000,147.40,1.000,128.17,1.000,147.40,1.000,214.69,1.000,326.84,1.000,422.97,1.000,487.06,1.000,531.92,1.000,531.92,1.000,551.15,1.000,570.37,1.000,551.15,1.000,551.15,1.000,551.15,1.000,570.37,1.000,551.15,1.000,557.56,1.000,531.92,1.000,525.51,1.000,512.70,1.000,506.29,1.000,499.88,1.000,487.06,1.000,474.24,1.000,455.02,1.000,422.97,1.000,397.34,1.000,352.48,1.000,333.25,1.000,301.21,1.000,262.76,1.000,253.14
1.050,237.12,1.050,304.41,1.050,217.90,1.050,147.40,1.050,128.17,1.050,140.99,1.050,217.90,1.050,320.43,1.050,435.79,1.050,487.06,1.050,515.90,1.050,547.94,1.050,544.74,1.050,551.15,1.050,551.15,1.050,560.76,1.050,570.37,1.050,551.15,1.050,544.74,1.050,538.33,1.050,531.92,1.050,525.51,1.050,512.70,1.050,506.29,1.050,499.88,1.050,487.06,1.050,474.24,1.050,455.02,1.050,422.97,1.050,378.11,1.050,358.89,1.050,320.43,1.050,301.21,1.050,275.57,1.050,243.53
1.100,243.53,1.100,304.41,1.100,217.90,1.100,140.99,1.100,121.77,1.100,147.40,1.100,214.69,1.100,307.62,1.100,442.20,1.100,474.24,1.100,506.29,1.100,557.56,1.100,554.35,1.100,551.15,1.100,570.37,1.100,576.78,1.100,573.58,1.100,544.74,1.100,541.53,1.100,538.33,1.100,531.92,1.100,525.51,1.100,512.70,1.100,506.29,1.100,496.67,1.100,471.04,1.100,477.45,1.100,455.02,1.100,416.56,1.100,384.52,1.100,365.30,1.100,330.05,1.100,294.80,1.100,275.57,1.100,243.53
1.150,243.53,1.150,304.41,1.150,224.30,1.150,147.40,1.150,128.17,1.150,147.40,1.150,205.08,1.150,314.03,1.150,442.20,1.150,467.83,1.150,506.29,1.150,551.15,1.150,570.37,1.150,567.17,1.150,576.78,1.150,576.78,1.150,551.15,1.150,544.74,1.150,538.33,1.150,538.33,1.150,531.92,1.150,525.51,1.150,512.70,1.150,506.29,1.150,487.06,1.150,480.65,1.150,474.24,1.150,448.61,1.150,419.77,1.150,394.13,1.150,365.30,1.150,333.25,1.150,288.39,1.150,275.57,1.150,256.35
1.200,243.53,1.200,294.80,1.200,224.30,1.200,147.40,1.200,128.17,1.200,147.40,1.200,211.49,1.200,320.43,1.200,426.18,1.200,480.65,1.200,525.51,1.200,531.92,1.200,570.37,1.200,576.78,1.200,563.96,1.200,557.56,1.200,551.15,1.200,563.96,1.200,563.96,1.200,547.94,1.200,531.92,1.200,525.51,1.200,512.70,1.200,506.29,1.200,493.47,1.200,487.06,1.200,464.63,1.200,448.61,1.200,422.97,1.200,397.34,1.200,365.30,1.200,333.25,1.200,298.00,1.200,262.76,1.200,256.35
1.250,243.53,1.250,301.21,1.250,224.30,1.250,147.40,1.250,128.17,1.250,147.40,1.250,214.69,1.250,326.84,1.250,422.97,1.250,487.06,1.250,531.92,1.250,531.92,1.250,551.15,1.250,567.17,1.250,551.15,1.250,551.15,1.250,551.15,1.250,570.37,1.250,551.15,1.250,554.35,1.250,531.92,1.250,525.51,1.250,512.70,1.250,506.29,1.250,499.88,1.250,487.06,1.250,474.24,1.250,455.02,1.250,422.97,1.250,397.34,1.250,352.48,1.250,333.25,1.250,301.21,1.250,262.76,1.250,253.14
1.300,237.12,1.300,301.21,1.300,217.90,1.300,147.40,1.300,128.17,1.300,140.99,1.300,217.90,1.300,320.43,1.300,435.79,1.300,490.26,1.300,512.70,1.300,551.15,1.300,544.74,1.300,551.15,1.300,551.15,1.300,560.76,1.300,570.37,1.300,551.15,1.300,544.74,1.300,538.33,1.300,531.92,1.300,525.51,1.300,512.70,1.300,493.47,1.300,499.88,1.300,487.06,1.300,474.24,1.300,455.02,1.300,422.97,1.300,378.11,1.300,358.89,1.300,320.43,1.300,301.21,1.300,275.57,1.300,243.53
1.350,243.53,1.350,304.41,1.350,217.90,1.350,140.99,1.350,121.77,1.350,147.40,1.350,211.49,1.350,307.62,1.350,442.20,1.350,474.24,1.350,506.29,1.350,557.56,1.350,554.35,1.350,551.15,1.350,570.37,1.350,576.78,1.350,570.37,1.350,544.74,1.350,541.53,1.350,538.33,1.350,531.92,1.350,525.51,1.350,512.70,1.350,499.88,1.350,493.47,1.350,467.83,1.350,474.24,1.350,455.02,1.350,413.36,1.350,387.73,1.350,365.30,1.350,333.25,1.350,294.80,1.350,275.57,1.350,243.53
1.400,243.53,1.400,301.21,1.400,224.30,1.400,147.40,1.400,128.17,1.400,147.40,1.400,205.08,1.400,314.03,1.400,442.20,1.400,467.83,1.400,506.29,1.400,547.94,1.400,570.37,1.400,570.37,1.400,576.78,1.400,576.78,1.400,551.15,1.400,544.74,1.400,538.33,1.400,538.33,1.400,531.92,1.400,525.51,1.400,512.70,1.400,506.29,1.400,490.26,1.400,480.65,1.400,474.24,1.400,445.40,1.400,422.97,1.400,397.34,1.400,365.30,1.400,333.25,1.400,288.39,1.400,275.57,1.400,256.35
1.450,243.53,1.450,298.00,1.450,224.30,1.450,147.40,1.450,128.17,1.450,147.40,1.450,211.49,1.450,320.43,1.450,422.97,1.450,483.86,1.450,525.51,1.450,531.92,1.450,570.37,1.450,576.78,1.450,560.76,1.450,554.35,1.450,551.15,1.450,563.96,1.450,563.96,1.450,551.15,1.450,531.92,1.450,525.51,1.450,512.70,1.450,506.29,1.450,496.67,1.450,487.06,1.450,467.83,1.450,451.81,1.450,422.97,1.450,397.34,1.450,365.30,1.450,333.25,1.450,301.21,1.450,262.76,1.450,256.35
