"Time (s) Run #1","Light Intensity (lx) Run #1","Time (s) Run #2","Light Intensity (lx) Run #2","Time (s) Run #3","Light Intensity (lx) Run #3","Time (s) Run #4","Light Intensity (lx) Run #4","Time (s) Run #5","Light Intensity (lx) Run #5","Time (s) Run #6","Light Intensity (lx) Run #6","Time (s) Run #7","Light Intensity (lx) Run #7","Time (s) Run #8","Light Intensity (lx) Run #8","Time (s) Run #9","Light Intensity (lx) Run #9","Time (s) Run #10","Light Intensity (lx) Run #10","Time (s) Run #11","Light Intensity (lx) Run #11","Time (s) Run #12","Light Intensity (lx) Run #12","Time (s) Run #13","Light Intensity (lx) Run #13","Time (s) Run #14","Light Intensity (lx) Run #14","Time (s) Run #15","Light Intensity (lx) Run #15","Time (s) Run #16","Light Intensity (lx) Run #16","Time (s) Run #17","Light Intensity (lx) Run #17","Time (s) Run #18","Light Intensity (lx) Run #18","Time (s) Run #19","Light Intensity (lx) Run #19","Time (s) Run #20","Light Intensity (lx) Run #20","Time (s) Run #21","Light Intensity (lx) Run #21","Time (s) Run #22","Light Intensity (lx) Run #22","Time (s) Run #23","Light Intensity (lx) Run #23"
2.500,429.38,2.500,563.96,2.500,756.23,2.500,1057.43,2.500,1515.66,2.500,2416.08,2.500,3332.52,2.500,3582.46,2.500,3665.77,2.500,3415.83,2.500,2896.73,2.500,2476.96,2.500,2335.97,2.500,1813.66,2.500,1384.28,2.500,903.63,2.500,547.94,2.500,368.50,2.500,237.12,2.500,147.40,2.500,96.13,2.500,51.27,2.500,32.04
2.550,422.97,2.550,563.96,2.550,762.63,2.550,1044.62,2.550,1515.66,2.550,2396.85,2.550,3332.52,2.550,3582.46,2.550,3652.95,2.550,3441.47,2.550,2896.73,2.550,2448.12,2.550,2345.58,2.550,1823.27,2.550,1374.66,2.550,916.44,2.550,544.74,2.550,368.50,2.550,230.71,2.550,147.40,2.550,96.13,2.550,51.27,2.550,32.04
2.600,422.97,2.600,563.96,2.600,756.23,2.600,1044.62,2.600,1512.45,2.600,2396.85,2.600,3332.52,2.600,3582.46,2.600,3656.16,2.600,3441.47,2.600,2864.69,2.600,2460.94,2.600,2323.15,2.600,1839.29,2.600,1377.87,2.600,916.44,2.600,538.33,2.600,365.30,2.600,230.71,2.600,147.40,2.600,96.13,2.600,51.27,2.600,32.04
2.650,429.38,2.650,570.37,2.650,756.23,2.650,1044.62,2.650,1512.45,2.650,2396.85,2.650,3332.52,2.650,3556.82,2.650,3665.77,2.650,3435.06,2.650,2883.91,2.650,2480.16,2.650,2313.54,2.650,1836.09,2.650,1390.69,2.650,903.63,2.650,538.33,2.650,365.30,2.650,230.71,2.650,147.40,2.650,96.13,2.650,51.27,2.650,32.04
2.700,429.38,2.700,567.17,2.700,756.23,2.700,1057.43,2.700,1512.45,2.700,2400.05,2.700,3332.52,2.700,3582.46,2.700,3665.77,2.700,3396.61,2.700,2896.73,2.700,2480.16,2.700,2323.15,2.700,1816.86,2.700,1393.89,2.700,903.63,2.700,544.74,2.700,365.30,2.700,233.92,2.700,147.40,2.700,96.13,2.700,51.27,2.700,32.04
2.750,426.18,2.750,563.96,2.750,762.63,2.750,1051.03,2.750,1518.86,2.750,2403.26,2.750,3332.52,2.750,3582.46,2.750,3665.77,2.750,3435.06,2.750,2896.73,2.750,2451.32,2.750,2345.58,2.750,1813.66,2.750,1377.87,2.750,910.03,2.750,544.74,2.750,371.70,2.750,233.92,2.750,147.40,2.750,96.13,2.750,51.27,2.750,32.04
2.800,422.97,2.800,563.96,2.800,756.23,2.800,1044.62,2.800,1512.45,2.800,2396.85,2.800,3332.52,2.800,3582.46,2.800,3640.14,2.800,3441.47,2.800,2880.71,2.800,2444.92,2.800,2339.17,2.800,1839.29,2.800,1371.46,2.800,916.44,2.800,538.33,2.800,365.30,2.800,230.71,2.800,147.40,2.800,96.13,2.800,51.27,2.800,32.04
2.850,429.38,2.850,570.37,2.850,756.23,2.850,1044.62,2.850,1512.45,2.850,2396.85,2.850,3332.52,2.850,3553.62,2.850,3665.77,2.850,3441.47,2.850,2867.89,2.850,2473.75,2.850,2313.54,2.850,1839.29,2.850,1390.69,2.850,906.83,2.850,538.33,2.850,365.30,2.850,230.71,2.850,147.40,2.850,96.13,2.850,51.27,2.850,32.04
2.900,429.38,2.900,570.37,2.900,756.23,2.900,1047.82,2.900,1512.45,2.900,2396.85,2.900,3332.52,2.900,3576.05,2.900,3665.77,2.900,3403.02,2.900,2896.73,2.900,2480.16,2.900,2310.33,2.900,1820.07,2.900,1397.09,2.900,903.63,2.900,544.74,2.900,365.30,2.900,230.71,2.900,147.40,2.900,96.13,2.900,51.27,2.900,32.04
2.950,429.38,2.950,563.96,2.950,756.23,2.950,1057.43,2.950,1522.06,2.950,2412.87,2.950,3332.52,2.950,3582.46,2.950,3665.77,2.950,3425.45,2.950,2896.73,2.950,2467.35,2.950,2339.17,2.950,1813.66,2.950,1377.87,2.950,903.63,2.950,544.74,2.950,371.70,2.950,237.12,2.950,147.40,2.950,96.13,2.950,51.27,2.950,32.04
3.000,422.97,3.000,563.96,3.000,762.63,3.000,1044.62,3.000,1512.45,3.000,2396.85,3.000,3332.52,3.000,3582.46,3.000,3640.14,3.000,3441.47,3.000,2896.73,3.000,2448.12,3.000,2345.58,3.000,1829.68,3.000,1371.46,3.000,916.44,3.000,541.53,3.000,365.30,3.000,230.71,3.000,147.40,3.000,96.13,3.000,51.27,3.000,32.04
3.050,422.97,3.050,567.17,3.050,756.23,3.050,1044.62,3.050,1512.45,3.050,2396.85,3.050,3332.52,3.050,3579.25,3.050,3659.36,3.050,3441.47,3.050,2864.69,3.050,2467.35,3.050,2319.95,3.050,1839.29,3.050,1384.28,3.050,910.03,3.050,538.33,3.050,365.30,3.050,230.71,3.050,147.40,3.050,96.13,3.050,51.27,3.050,32.04
