"Time (s) Run #1","Light Intensity (lx) Run #1","Time (s) Run #2","Light Intensity (lx) Run #2","Time (s) Run #3","Light Intensity (lx) Run #3","Time (s) Run #4","Light Intensity (lx) Run #4","Time (s) Run #5","Light Intensity (lx) Run #5","Time (s) Run #6","Light Intensity (lx) Run #6","Time (s) Run #7","Light Intensity (lx) Run #7","Time (s) Run #8","Light Intensity (lx) Run #8","Time (s) Run #9","Light Intensity (lx) Run #9","Time (s) Run #10","Light Intensity (lx) Run #10","Time (s) Run #11","Light Intensity (lx) Run #11","Time (s) Run #12","Light Intensity (lx) Run #12","Time (s) Run #13","Light Intensity (lx) Run #13"
2.300,224.30,2.300,205.08,2.300,192.26,2.300,179.44,2.300,166.63,2.300,147.40,2.300,134.58,2.300,121.77,2.300,108.95,2.300,96.13,2.300,83.31,2.300,64.09,2.300,57.68
2.350,217.90,2.350,205.08,2.350,192.26,2.350,179.44,2.350,166.63,2.350,147.40,2.350,128.17,2.350,121.77,2.350,108.95,2.350,102.54,2.350,83.31,2.350,64.09,2.350,57.68
2.400,217.90,2.400,205.08,2.400,192.26,2.400,179.44,2.400,166.63,2.400,147.40,2.400,134.58,2.400,121.77,2.400,108.95,2.400,102.54,2.400,83.31,2.400,64.09,2.400,57.68
2.450,217.90,2.450,205.08,2.450,192.26,2.450,179.44,2.450,166.63,2.450,147.40,2.450,134.58,2.450,121.77,2.450,108.95,2.450,102.54,2.450,83.31,2.450,64.09,2.450,54.47
2.500,221.10,2.500,205.08,2.500,192.26,2.500,179.44,2.500,166.63,2.500,147.40,2.500,134.58,2.500,121.77,2.500,108.95,2.500,96.13,2.500,83.31,2.500,64.09,2.500,51.27
2.550,224.30,2.550,205.08,2.550,192.26,2.550,179.44,2.550,166.63,2.550,147.40,2.550,134.58,2.550,121.77,2.550,108.95,2.550,96.13,2.550,83.31,2.550,64.09,2.550,57.68
2.600,217.90,2.600,205.08,2.600,192.26,2.600,179.44,2.600,166.63,2.600,147.40,2.600,128.17,2.600,121.77,2.600,108.95,2.600,102.54,2.600,83.31,2.600,64.09,2.600,57.68
2.650,217.90,2.650,205.08,2.650,192.26,2.650,179.44,2.650,166.63,2.650,147.40,2.650,134.58,2.650,121.77,2.650,108.95,2.650,102.54,2.650,83.31,2.650,64.09,2.650,57.68
2.700,217.90,2.700,205.08,2.700,192.26,2.700,179.44,2.700,166.63,2.700,147.40,2.700,134.58,2.700,118.56,2.700,108.95,2.700,102.54,2.700,83.31,2.700,64.09,2.700,54.47
2.750,224.30,2.750,205.08,2.750,192.26,2.750,179.44,2.750,166.63,2.750,147.40,2.750,134.58,2.750,121.77,2.750,108.95,2.750,96.13,2.750,83.31,2.750,64.09,2.750,51.27
