"Time (s) Run #1","Light Intensity (lx) Run #1","Time (s) Run #2","Light Intensity (lx) Run #2","Time (s) Run #3","Light Intensity (lx) Run #3","Time (s) Run #4","Light Intensity (lx) Run #4","Time (s) Run #5","Light Intensity (lx) Run #5","Time (s) Run #6","Light Intensity (lx) Run #6","Time (s) Run #7","Light Intensity (lx) Run #7","Time (s) Run #8","Light Intensity (lx) Run #8","Time (s) Run #9","Light Intensity (lx) Run #9","Time (s) Run #10","Light Intensity (lx) Run #10","Time (s) Run #11","Light Intensity (lx) Run #11","Time (s) Run #12","Light Intensity (lx) Run #12","Time (s) Run #13","Light Intensity (lx) Run #13","Time (s) Run #14","Light Intensity (lx) Run #14","Time (s) Run #15","Light Intensity (lx) Run #15","Time (s) Run #16","Light Intensity (lx) Run #16","Time (s) Run #17","Light Intensity (lx) Run #17","Time (s) Run #18","Light Intensity (lx) Run #18","Time (s) Run #19","Light Intensity (lx) Run #19","Time (s) Run #20","Light Intensity (lx) Run #20","Time (s) Run #21","Light Intensity (lx) Run #21","Time (s) Run #22","Light Intensity (lx) Run #22","Time (s) Run #23","Light Intensity (lx) Run #23","Time (s) Run #24","Light Intensity (lx) Run #24","Time (s) Run #25","Light Intensity (lx) Run #25","Time (s) Run #26","Light Intensity (lx) Run #26","Time (s) Run #27","Light Intensity (lx) Run #27","Time (s) Run #28","Light Intensity (lx) Run #28","Time (s) Run #29","Light Intensity (lx) Run #29","Time (s) Run #30","Light Intensity (lx) Run #30","Time (s) Run #31","Light Intensity (lx) Run #31","Time (s) Run #32","Light Intensity (lx) Run #32","Time (s) Run #33","Light Intensity (lx) Run #33","Time (s) Run #34","Light Intensity (lx) Run #34","Time (s) Run #35","Light Intensity (lx) Run #35"
1.000,378.11,1.000,333.25,1.000,281.98,1.000,230.71,1.000,243.53,1.000,298.00,1.000,371.70,1.000,448.61,1.000,512.70,1.000,448.61,1.000,554.35,1.000,570.37,1.000,583.19,1.000,583.19,1.000,586.40,1.000,589.60,1.000,589.60,1.000,589.60,1.000,596.01,1.000,602.42,1.000,602.42,1.000,608.83,1.000,602.42,1.000,602.42,1.000,596.01,1.000,599.21,1.000,596.01,1.000,589.60,1.000,560.76,1.000,544.74,1.000,528.72,1.000,499.88,1.000,458.22,1.000,422.97,1.000,390.93
1.050,371.70,1.050,333.25,1.050,281.98,1.050,230.71,1.050,243.53,1.050,301.21,1.050,371.70,1.050,448.61,1.050,512.70,1.050,442.20,1.050,547.94,1.050,570.37,1.050,576.78,1.050,583.19,1.050,586.40,1.050,589.60,1.050,596.01,1.050,596.01,1.050,596.01,1.050,602.42,1.050,596.01,1.050,596.01,1.050,608.83,1.050,596.01,1.050,596.01,1.050,596.01,1.050,602.42,1.050,589.60,1.050,560.76,1.050,544.74,1.050,519.10,1.050,499.88,1.050,464.63,1.050,422.97,1.050,390.93
1.100,374.91,1.100,339.66,1.100,281.98,1.100,230.71,1.100,243.53,1.100,301.21,1.100,378.11,1.100,448.61,1.100,519.10,1.100,442.20,1.100,544.74,1.100,563.96,1.100,576.78,1.100,583.19,1.100,586.40,1.100,589.60,1.100,596.01,1.100,596.01,1.100,596.01,1.100,596.01,1.100,596.01,1.100,596.01,1.100,602.42,1.100,602.42,1.100,608.83,1.100,596.01,1.100,602.42,1.100,589.60,1.100,563.96,1.100,538.33,1.100,519.10,1.100,499.88,1.100,467.83,1.100,422.97,1.100,390.93
1.150,378.11,1.150,339.66,1.150,281.98,1.150,224.30,1.150,246.73,1.150,294.80,1.150,378.11,1.150,445.40,1.150,515.90,1.150,442.20,1.150,551.15,1.150,563.96,1.150,576.78,1.150,583.19,1.150,586.40,1.150,589.60,1.150,596.01,1.150,596.01,1.150,589.60,1.150,602.42,1.150,602.42,1.150,602.42,1.150,596.01,1.150,608.83,1.150,605.62,1.150,602.42,1.150,596.01,1.150,589.60,1.150,557.56,1.150,538.33,1.150,525.51,1.150,493.47,1.150,461.43,1.150,429.38,1.150,397.34
1.200,378.11,1.200,336.46,1.200,281.98,1.200,230.71,1.200,249.94,1.200,294.80,1.200,374.91,1.200,448.61,1.200,512.70,1.200,448.61,1.200,557.56,1.200,570.37,1.200,576.78,1.200,579.99,1.200,586.40,1.200,589.60,1.200,592.80,1.200,589.60,1.200,596.01,1.200,602.42,1.200,602.42,1.200,608.83,1.200,599.21,1.200,605.62,1.200,596.01,1.200,602.42,1.200,596.01,1.200,589.60,1.200,557.56,1.200,544.74,1.200,525.51,1.200,493.47,1.200,461.43,1.200,426.18,1.200,390.93
1.250,378.11,1.250,333.25,1.250,281.98,1.250,230.71,1.250,243.53,1.250,301.21,1.250,371.70,1.250,455.02,1.250,512.70,1.250,448.61,1.250,551.15,1.250,570.37,1.250,583.19,1.250,583.19,1.250,586.40,1.250,589.60,1.250,592.80,1.250,596.01,1.250,596.01,1.250,602.42,1.250,599.21,1.250,602.42,1.250,608.83,1.250,596.01,1.250,596.01,1.250,596.01,1.250,596.01,1.250,589.60,1.250,560.76,1.250,544.74,1.250,525.51,1.250,499.88,1.250,461.43,1.250,422.97,1.250,390.93
1.300,371.70,1.300,339.66,1.300,281.98,1.300,230.71,1.300,243.53,1.300,301.21,1.300,378.11,1.300,448.61,1.300,515.90,1.300,442.20,1.300,547.94,1.300,563.96,1.300,576.78,1.300,583.19,1.300,586.40,1.300,589.60,1.300,596.01,1.300,596.01,1.300,596.01,1.300,596.01,1.300,596.01,1.300,596.01,1.300,608.83,1.300,596.01,1.300,602.42,1.300,596.01,1.300,605.62,1.300,589.60,1.300,560.76,1.300,544.74,1.300,519.10,1.300,499.88,1.300,467.83,1.300,422.97,1.300,390.93
1.350,378.11,1.350,339.66,1.350,281.98,1.350,227.51,1.350,243.53,1.350,298.00,1.350,378.11,1.350,445.40,1.350,519.10,1.350,442.20,1.350,544.74,1.350,563.96,1.350,576.78,1.350,583.19,1.350,589.60,1.350,589.60,1.350,596.01,1.350,596.01,1.350,596.01,1.350,596.01,1.350,602.42,1.350,596.01,1.350,599.21,1.350,608.83,1.350,608.83,1.350,596.01,1.350,596.01,1.350,589.60,1.350,557.56,1.350,538.33,1.350,525.51,1.350,499.88,1.350,467.83,1.350,429.38,1.350,390.93
1.400,378.11,1.400,339.66,1.400,281.98,1.400,227.51,1.400,249.94,1.400,294.80,1.400,378.11,1.400,445.40,1.400,512.70,1.400,445.40,1.400,554.35,1.400,563.96,1.400,576.78,1.400,583.19,1.400,586.40,1.400,589.60,1.400,596.01,1.400,596.01,1.400,589.60,1.400,602.42,1.400,602.42,1.400,602.42,1.400,596.01,1.400,608.83,1.400,602.42,1.400,608.83,1.400,596.01,1.400,589.60,1.400,557.56,1.400,544.74,1.400,525.51,1.400,493.47,1.400,461.43,1.400,429.38,1.400,390.93
1.450,378.11,1.450,333.25,1.450,281.98,1.450,230.71,1.450,243.53,1.450,298.00,1.450,371.70,1.450,451.81,1.450,512.70,1.450,448.61,1.450,557.56,1.450,570.37,1.450,583.19,1.450,583.19,1.450,586.40,1.450,589.60,1.450,589.60,1.450,589.60,1.450,596.01,1.450,602.42,1.450,602.42,1.450,608.83,1.450,602.42,1.450,602.42,1.450,596.01,1.450,599.21,1.450,596.01,1.450,589.60,1.450,560.76,1.450,544.74,1.450,528.72,1.450,499.88,1.450,461.43,1.450,422.97,1.450,390.93
