"Time (s) Run #1","Light Intensity (lx) Run #1","Time (s) Run #2","Light Intensity (lx) Run #2","Time (s) Run #3","Light Intensity (lx) Run #3","Time (s) Run #4","Light Intensity (lx) Run #4","Time (s) Run #5","Light Intensity (lx) Run #5","Time (s) Run #6","Light Intensity (lx) Run #6","Time (s) Run #7","Light Intensity (lx) Run #7","Time (s) Run #8","Light Intensity (lx) Run #8","Time (s) Run #9","Light Intensity (lx) Run #9","Time (s) Run #10","Light Intensity (lx) Run #10","Time (s) Run #11","Light Intensity (lx) Run #11","Time (s) Run #12","Light Intensity (lx) Run #12","Time (s) Run #13","Light Intensity (lx) Run #13","Time (s) Run #14","Light Intensity (lx) Run #14","Time (s) Run #15","Light Intensity (lx) Run #15","Time (s) Run #16","Light Intensity (lx) Run #16","Time (s) Run #17","Light Intensity (lx) Run #17","Time (s) Run #18","Light Intensity (lx) Run #18","Time (s) Run #19","Light Intensity (lx) Run #19","Time (s) Run #20","Light Intensity (lx) Run #20","Time (s) Run #21","Light Intensity (lx) Run #21","Time (s) Run #22","Light Intensity (lx) Run #22","Time (s) Run #23","Light Intensity (lx) Run #23","Time (s) Run #24","Light Intensity (lx) Run #24","Time (s) Run #25","Light Intensity (lx) Run #25"
1.100,551.15,1.100,1198.43,1.100,1486.82,1.100,1493.23,1.100,1416.32,1.100,1365.05,1.100,1352.23,1.100,1339.42,1.100,1307.37,1.100,1268.92,1.100,1220.86,1.100,1166.38,1.100,1102.29,1.100,1038.21,1.100,974.12,1.100,919.65,1.100,852.36,1.100,749.82,1.100,634.46,1.100,525.51,1.100,461.43,1.100,406.95,1.100,365.30,1.100,256.35,1.100,185.85
1.150,538.33,1.150,1185.61,1.150,1480.41,1.150,1470.79,1.150,1425.93,1.150,1365.05,1.150,1371.46,1.150,1333.01,1.150,1307.37,1.150,1268.92,1.150,1224.06,1.150,1143.95,1.150,1083.07,1.150,1022.19,1.150,974.12,1.150,894.01,1.150,858.76,1.150,749.82,1.150,653.69,1.150,538.33,1.150,464.63,1.150,397.34,1.150,365.30,1.150,256.35,1.150,192.26
1.200,538.33,1.200,1166.38,1.200,1480.41,1.200,1467.59,1.200,1451.57,1.200,1368.26,1.200,1355.44,1.200,1333.01,1.200,1316.99,1.200,1278.53,1.200,1224.06,1.200,1163.18,1.200,1095.89,1.200,1031.80,1.200,951.69,1.200,913.24,1.200,858.76,1.200,733.80,1.200,660.10,1.200,538.33,1.200,461.43,1.200,397.34,1.200,352.48,1.200,262.76,1.200,185.85
1.250,538.33,1.250,1166.38,1.250,1518.86,1.250,1467.59,1.250,1419.53,1.250,1403.50,1.250,1352.23,1.250,1333.01,1.250,1320.19,1.250,1278.53,1.250,1224.06,1.250,1166.38,1.250,1102.29,1.250,1038.21,1.250,961.30,1.250,916.44,1.250,845.95,1.250,740.20,1.250,656.89,1.250,541.53,1.250,448.61,1.250,406.95,1.250,352.48,1.250,262.76,1.250,185.85
1.300,551.15,1.300,1182.40,1.300,1512.45,1.300,1502.84,1.300,1416.32,1.300,1371.46,1.300,1352.23,1.300,1352.23,1.300,1307.37,1.300,1268.92,1.300,1224.06,1.300,1166.38,1.300,1102.29,1.300,1038.21,1.300,974.12,1.300,922.85,1.300,836.33,1.300,749.82,1.300,640.87,1.300,525.51,1.300,455.02,1.300,410.16,1.300,358.89,1.300,262.76,1.300,185.85
1.350,551.15,1.350,1198.43,1.350,1483.61,1.350,1483.61,1.350,1416.32,1.350,1365.05,1.350,1352.23,1.350,1339.42,1.350,1307.37,1.350,1268.92,1.350,1224.06,1.350,1166.38,1.350,1095.89,1.350,1038.21,1.350,974.12,1.350,913.24,1.350,858.76,1.350,749.82,1.350,640.87,1.350,525.51,1.350,461.43,1.350,403.75,1.350,365.30,1.350,256.35,1.350,185.85
1.400,538.33,1.400,1179.20,1.400,1480.41,1.400,1467.59,1.400,1435.55,1.400,1365.05,1.400,1374.66,1.400,1333.01,1.400,1307.37,1.400,1268.92,1.400,1224.06,1.400,1147.16,1.400,1089.48,1.400,1015.78,1.400,974.12,1.400,890.81,1.400,858.76,1.400,749.82,1.400,653.69,1.400,538.33,1.400,467.83,1.400,397.34,1.400,362.09,1.400,256.35,1.400,192.26
1.450,538.33,1.450,1166.38,1.450,1493.23,1.450,1467.59,1.450,1445.16,1.450,1381.07,1.450,1352.23,1.450,1333.01,1.450,1329.80,1.450,1291.35,1.450,1224.06,1.450,1166.38,1.450,1099.09,1.450,1031.80,1.450,948.49,1.450,916.44,1.450,858.76,1.450,730.59,1.450,660.10,1.450,541.53,1.450,458.22,1.450,397.34,1.450,352.48,1.450,262.76,1.450,185.85
1.500,538.33,1.500,1166.38,1.500,1525.27,1.500,1467.59,1.500,1416.32,1.500,1397.09,1.500,1352.23,1.500,1333.01,1.500,1313.78,1.500,1275.33,1.500,1224.06,1.500,1166.38,1.500,1102.29,1.500,1038.21,1.500,967.71,1.500,919.65,1.500,839.54,1.500,743.41,1.500,650.48,1.500,538.33,1.500,448.61,1.500,410.16,1.500,352.48,1.500,262.76,1.500,185.85
1.550,551.15,1.550,1188.81,1.550,1502.84,1.550,1509.25,1.550,1416.32,1.550,1371.46,1.550,1352.23,1.550,1358.64,1.550,1307.37,1.550,1268.92,1.550,1224.06,1.550,1166.38,1.550,1102.29,1.550,1038.21,1.550,974.12,1.550,919.65,1.550,842.74,1.550,749.82,1.550,634.46,1.550,525.51,1.550,458.22,1.550,410.16,1.550,358.89,1.550,256.35,1.550,185.85
